Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights
36,"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Lo...","₹13,990","₹27,300",48% off,4.2,9824,678,720 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
36,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...","₹10,490","₹12,800",18% off,4.4,41641,2713,1400 rpm Max Speed | 5 Star Rating | 4 Years Comprehensive Warranty and 5 Years Warranty on Motor
36,"IFB 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Brown, Silver, Black","₹29,640","₹40,850",27% off,N/A,N/A,N/A,"1200 rpm Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
36,Acer 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹14,499","₹25,999",44% off,N/A,N/A,N/A,700 RPM Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
36,"Samsung 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹19,490","₹27,000",27% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
36,Whirlpool 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹17,490","₹23,250",24% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor
36,"Samsung 9 kg Semi Automatic Top Load Washing Machine Black, Grey","₹17,500","₹20,850",16% off,4.3,12377,891,"1300 rpm Max Speed | 5 Star Rating | 2 years on product, 2 years on motor (T&C Apply)"
36,Godrej 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Silver,"₹29,999","₹43,500",31% off,4.4,15,1,1200 rpm Max Speed | With In-Built Heater | 2 Years Warranty on Product and 10 Years on Motor
36,Acer 9 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹20,499","₹29,999",31% off,N/A,N/A,N/A,700 RPM Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
36,"Samsung 8.5 kg Semi Automatic Top Load Washing Machine Blue, Grey","₹15,998","₹18,400",13% off,4,46,1,"1300 rpm Max Speed | 5 Star Rating | 2 years on product, 2 years on motor (T&C Apply)"
36,"Samsung 10 kg 5 Star, AI Wash, Ecobubble, AI Energy Mode, AI VRT+, Soft Closing Door, Wi-Fi, Digital I...","₹25,990","₹33,990",23% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 Years comprehensive warranty on product, 20 Years warranty on Digital Inverter Motor."
36,"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹33,990","₹45,990",26% off,4.3,28925,2208,"1200 RPM Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
36,"Samsung 7 kg 5 star,Air Turbo Drying, Semi Automatic Top Load Washing Machine White, Grey, Purple","₹13,899","₹14,500",4% off,4.4,222,16,"1300 rpm Max Speed | 5 Star Rating | 2 years on product, 2 years on motor (T&C Apply)"
36,"LG 11 kg with Steam,Wi-Fi Enabled Fully Automatic Front Load Washing Machine with In-built Heater Silv...","₹50,890","₹65,990",22% off,N/A,N/A,N/A,1400 RPM Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 1 Year Warranty on Product and 10 Years Warranty on Motor
36,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹36,490","₹48,990",25% off,4.3,28925,2208,"1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
36,Whirlpool 10 kg Bloomwash Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹24,990","₹31,200",19% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor & Prime Mover
