Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights,Product URL
2,realme TechLife 8 kg In-built Heater with ExpertWash Fully Automatic Front Load Washing Machine with In-built Heater Grey(RMFL805NHIJG),"₹22,990","₹43,990",47% off,4.1,2436.0,302.0,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Warranty on Product and 10 Years Special Warranty on Wash Motor,https://www.flipkart.com/realme-techlife-8-kg-in-built-heater-expertwash-fully-automatic-front-load-washing-machine-grey/p/itm651bfcdb62fae
2,MOTOROLA 10.5 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"₹24,690","₹59,990",58% off,4.1,12729.0,1568.0,1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive and 5 Years on Wash Motor,https://www.flipkart.com/motorola-10-5-kg-fully-automatic-front-load-washing-machine-in-built-heater-grey/p/itm8ae1a578b21f0
3,"LG 8 kg Semi Automatic Top Load Washing Machine White, Maroon","₹13,201","₹18,000",26% off,4.5,1501.0,100.0,800 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Complete Washing Machine and 5 Years on Motor from LG,https://www.flipkart.com/lg-8-kg-semi-automatic-top-load-washing-machine-white-maroon/p/itmb46d8b1694357
3,Voltas Beko by A Tata Product 8.5 kg 5 Star Semi Automatic Top Load Washing Machine Blue,"₹10,790","₹23,490",54% off,4.3,5518.0,362.0,1400 rpm Max Speed | 5 Star Rating | 1 Year on Product & 5 Year on Motor,https://www.flipkart.com/voltas-beko-tata-product-8-5-kg-5-star-semi-automatic-top-load-washing-machine-blue/p/itm1a01731f3260a
3,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Washing Machine Grey(MAGIC CLEAN 7.0 GREY DAZZLE (5YR))","₹8,490","₹12,800",33% off,4.4,41859.0,2721.0,1400 rpm Max Speed | 5 Star Rating | 4 Years Comprehensive Warranty and 5 Years Warranty on Motor,https://www.flipkart.com/whirlpool-7-kg-5-star-ace-wash-station-1400-rpm-speed-rust-proof-semi-automatic-top-load-washing-machine-grey/p/itm4a1a90b50cd6a
3,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black","₹7,890","₹12,490",36% off,4.2,95150.0,8215.0,1400 RPM Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-black/p/itmc94e124668ec6
3,"Haier 8 kg AI with Inverter Motor, IPuristeam and Refresh Function, Anti Bacterial Technology, Super Drum 525mm with Custom Wash Programs Fully Automatic Front Load Washing Machine Black, White(HW80-IM12929C)","₹27,990","₹53,500",47% off,4.3,2868.0,301.0,1200 rpm Max Speed | 5 Star Rating | 5 Years Comprehensive Warranty on Product and 12 Years Warranty on Motor from Haier,https://www.flipkart.com/haier-8-kg-ai-inverter-motor-ipuristeam-refresh-function-anti-bacterial-technology-super-drum-525mm-custom-wash-programs-fully-automatic-front-load-washing-machine-black-white/p/itm80b39fe950cc8
3,"Godrej 7 kg Tri- Roto Pulsator, Spin Shower, Drying at 1400 RPM Speed, Semi Automatic Top Load Washing Machine Grey(WSEDGE NEO 70 5.0 PB3 SLGR)","₹9,590","₹13,900",31% off,4.3,5456.0,319.0,1400 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,https://www.flipkart.com/godrej-7-kg-tri-roto-pulsator-spin-shower-drying-1400-rpm-speed-semi-automatic-top-load-washing-machine-grey/p/itm619f0737af24e
3,realme TechLife 10 kg Semi Automatic Top Load Washing Machine Grey,"₹10,490","₹19,990",47% off,4.2,95150.0,8215.0,1300 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/realme-techlife-10-kg-semi-automatic-top-load-washing-machine-grey/p/itmc3f06d7ae96a0
3,MOTOROLA 7.5 kg 5 star rating Midnight Series Semi Automatic Top Load Washing Machine Black,"₹8,490","₹13,990",39% off,4.3,16876.0,1420.0,1350 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/motorola-7-5-kg-5-star-rating-midnight-series-semi-automatic-top-load-washing-machine-black/p/itm7c6e41fb2f5da
